Date,Ground,Home Team,Winner
1877,Melbourne Cricket Ground,Australia,Australia
1877,Melbourne Cricket Ground,Australia,England
1879,Melbourne Cricket Ground,Australia,Australia
1881,Melbourne Cricket Ground,Australia,Draw
1882,Sydney Cricket Ground,Australia,Australia
1882,Sydney Cricket Ground,Australia,Australia
1882,Melbourne Cricket Ground,Australia,Draw
1882,Melbourne Cricket Ground,Australia,Australia
1883,Melbourne Cricket Ground,Australia,England
1883,Sydney Cricket Ground,Australia,England
1883,Sydney Cricket Ground,Australia,Australia
1884,Adelaide Oval,Australia,England
1885,Melbourne Cricket Ground,Australia,England
1885,Sydney Cricket Ground,Australia,Australia
1885,Sydney Cricket Ground,Australia,Australia
1885,Melbourne Cricket Ground,Australia,England
1887,Sydney Cricket Ground,Australia,England
1887,Sydney Cricket Ground,Australia,England
1888,Sydney Cricket Ground,Australia,England
1892,Melbourne Cricket Ground,Australia,Australia
1892,Sydney Cricket Ground,Australia,Australia
1892,Adelaide Oval,Australia,England
1894,Sydney Cricket Ground,Australia,England
1894,Melbourne Cricket Ground,Australia,England
1895,Adelaide Oval,Australia,Australia
1895,Sydney Cricket Ground,Australia,Australia
1895,Melbourne Cricket Ground,Australia,England
1897,Sydney Cricket Ground,Australia,England
1898,Melbourne Cricket Ground,Australia,Australia
1898,Adelaide Oval,Australia,Australia
1898,Melbourne Cricket Ground,Australia,Australia
1898,Sydney Cricket Ground,Australia,Australia
1901,Sydney Cricket Ground,Australia,England
1902,Melbourne Cricket Ground,Australia,Australia
1902,Adelaide Oval,Australia,Australia
1902,Sydney Cricket Ground,Australia,Australia
1902,Melbourne Cricket Ground,Australia,Australia
1903,Sydney Cricket Ground,Australia,England
1904,Melbourne Cricket Ground,Australia,England
1904,Adelaide Oval,Australia,Australia
1904,Sydney Cricket Ground,Australia,England
1904,Melbourne Cricket Ground,Australia,Australia
1907,Sydney Cricket Ground,Australia,Australia
1908,Melbourne Cricket Ground,Australia,England
1908,Adelaide Oval,Australia,Australia
1908,Melbourne Cricket Ground,Australia,Australia
1908,Sydney Cricket Ground,Australia,Australia
1910,Sydney Cricket Ground,Australia,Australia
1910,Melbourne Cricket Ground,Australia,Australia
1911,Adelaide Oval,Australia,South
1911,Melbourne Cricket Ground,Australia,Australia
1911,Sydney Cricket Ground,Australia,Australia
1911,Sydney Cricket Ground,Australia,Australia
1911,Melbourne Cricket Ground,Australia,England
1912,Adelaide Oval,Australia,England
1912,Melbourne Cricket Ground,Australia,England
1912,Sydney Cricket Ground,Australia,England
1920,Sydney Cricket Ground,Australia,Australia
1920,Melbourne Cricket Ground,Australia,Australia
1921,Adelaide Oval,Australia,Australia
1921,Melbourne Cricket Ground,Australia,Australia
1921,Sydney Cricket Ground,Australia,Australia
1924,Sydney Cricket Ground,Australia,Australia
1925,Melbourne Cricket Ground,Australia,Australia
1925,Adelaide Oval,Australia,Australia
1925,Melbourne Cricket Ground,Australia,England
1925,Sydney Cricket Ground,Australia,Australia
1928,Exhibition Ground,Australia,England
1928,Sydney Cricket Ground,Australia,England
1928,Melbourne Cricket Ground,Australia,England
1929,Adelaide Oval,Australia,England
1929,Melbourne Cricket Ground,Australia,Australia
1930,Adelaide Oval,Australia,Australia
