Date,Ground,Home Team,Winner
1880,Kennington Oval,England,England
1882,Kennington Oval,England,Australia
1884,Old Trafford,England,Draw
1884,Lord's,England,England
1884,Kennington Oval,England,Draw
1886,Old Trafford,England,England
1886,Lord's,England,England
1886,Kennington Oval,England,England
1888,Lord's,England,Australia
1888,Kennington Oval,England,England
1888,Old Trafford,England,England
1890,Lord's,England,England
1890,Kennington Oval,England,England
1893,Lord's,England,Draw
1893,Kennington Oval,England,England
1893,Old Trafford,England,Draw
1896,Lord's,England,England
1896,Old Trafford,England,Australia
1896,Kennington Oval,England,England
1899,Trent Bridge,England,Draw
1899,Lord's,England,Australia
1899,Headingley,England,Draw
1899,Old Trafford,England,Draw
1899,Kennington Oval,England,Draw
1902,Edgbaston,England,Draw
1902,Lord's,England,Draw
1902,Bramall Lane,England,Australia
1902,Old Trafford,England,Australia
1902,Kennington Oval,England,England
1905,Trent Bridge,England,England
1905,Lord's,England,Draw
1905,Headingley,England,Draw
1905,Old Trafford,England,England
1905,Kennington Oval,England,Draw
1907,Lord's,England,Draw
1907,Headingley,England,England
1907,Kennington Oval,England,Draw
1909,Edgbaston,England,England
1909,Lord's,England,Australia
1909,Headingley,England,Australia
1909,Old Trafford,England,Draw
1909,Kennington Oval,England,Draw
1921,Trent Bridge,England,Australia
1921,Lord's,England,Australia
1921,Headingley,England,Australia
1921,Old Trafford,England,Draw
1921,Kennington Oval,England,Draw
1924,Edgbaston,England,England
1924,Lord's,England,England
1924,Headingley,England,England
1924,Old Trafford,England,Draw
1924,Kennington Oval,England,Draw
1926,Trent Bridge,England,Draw
1926,Lord's,England,Draw
1926,Headingley,England,Draw
1926,Old Trafford,England,Draw
1926,Kennington Oval,England,England
1928,Lord's,England,England
1928,Old Trafford,England,England
1928,Kennington Oval,England,England
1929,Edgbaston,England,Draw
1929,Lord's,England,Draw
1929,Headingley,England,England
1929,Old Trafford,England,England
1929,Kennington Oval,England,Draw
1930,Trent Bridge,England,England
1930,Lord's,England,Australia
1930,Headingley,England,Draw
1930,Old Trafford,England,Draw
1930,Kennington Oval,England,Australia
1931,Lord's,England,Draw
1931,Kennington Oval,England,England
1931,Old Trafford,England,Draw
1932,Lord's,England,England
1933,Lord's,England,England
1933,Old Trafford,England,Draw
1933,Kennington Oval,England,England
1934,Trent Bridge,England,Australia
1934,Lord's,England,England
1934,Old Trafford,England,Draw
1934,Headingley,England,Draw
1934,Kennington Oval,England,Australia
1935,Trent Bridge,England,Draw
1935,Lord's,England,South
1935,Headingley,England,Draw
1935,Old Trafford,England,Draw
1935,Kennington Oval,England,Draw
1936,Lord's,England,England
1936,Old Trafford,England,Draw
1936,Kennington Oval,England,England
1937,Lord's,England,Draw
1937,Old Trafford,England,England
1937,Kennington Oval,England,Draw
1938,Trent Bridge,England,Draw
1938,Lord's,England,Draw
1938,Headingley,England,Australia
1938,Kennington Oval,England,England
1939,Lord's,England,England
1939,Old Trafford,England,Draw
1939,Kennington Oval,England,Draw
1946,Lord's,England,England
1946,Old Trafford,England,Draw
1946,Kennington Oval,England,Draw
1947,Trent Bridge,England,Draw
1947,Lord's,England,England
1947,Old Trafford,England,England
1947,Headingley,England,England
1947,Kennington Oval,England,Draw
1948,Trent Bridge,England,Australia
1948,Lord's,England,Australia
1948,Old Trafford,England,Draw
1948,Headingley,England,Australia
1948,Kennington Oval,England,Australia
1949,Headingley,England,Draw
1949,Lord's,England,Draw
1949,Old Trafford,England,Draw
1949,Kennington Oval,England,Draw
1950,Old Trafford,England,England
1950,Lord's,England,West
1950,Trent Bridge,England,West
1950,Kennington Oval,England,West
1951,Trent Bridge,England,South
1951,Lord's,England,England
1951,Old Trafford,England,England
1951,Headingley,England,Draw
1951,Kennington Oval,England,England
1952,Headingley,England,England
1952,Lord's,England,England
1952,Old Trafford,England,England
1952,Kennington Oval,England,Draw
1953,Trent Bridge,England,Draw
1953,Lord's,England,Draw
1953,Old Trafford,England,Draw
1953,Headingley,England,Draw
1953,Kennington Oval,England,England
1954,Lord's,England,Draw
1954,Trent Bridge,England,England
1954,Old Trafford,England,Draw
1954,Kennington Oval,England,Pakistan
1955,Trent Bridge,England,England
1955,Lord's,England,England
1955,Old Trafford,England,South
1955,Headingley,England,South
1955,Kennington Oval,England,England
1956,Trent Bridge,England,Draw
1956,Lord's,England,Australia
1956,Headingley,England,England
1956,Old Trafford,England,England
