Date,Ground,Home Team,Winner
1933,Gymkhana Ground,India,England
1934,Eden Gardens,India,Draw
1934,MA Chidambaram Stadium,India,England
1948,Arun Jaitley Stadium,India,Draw
1948,Brabourne Stadium,India,Draw
1948,Eden Gardens,India,Draw
1949,MA Chidambaram Stadium,India,West
1949,Brabourne Stadium,India,Draw
1951,Arun Jaitley Stadium,India,Draw
1951,Brabourne Stadium,India,Draw
1951,Eden Gardens,India,Draw
1952,Green Park,India,England
1952,MA Chidambaram Stadium,India,India
1952,Arun Jaitley Stadium,India,India
1952,University Ground,India,Pakistan
1952,Brabourne Stadium,India,India
1952,MA Chidambaram Stadium,India,Draw
1952,Eden Gardens,India,Draw
1955,Lal Bahadur Shastri Stadium,India,Draw
1955,Brabourne Stadium,India,India
1955,Arun Jaitley Stadium,India,Draw
1955,Eden Gardens,India,Draw
1956,Nehru Stadium (Chennai),India,India
1956,Nehru Stadium (Chennai),India,Australia
1956,Brabourne Stadium,India,Draw
1956,Eden Gardens,India,Australia
1958,Brabourne Stadium,India,Draw
1958,Green Park,India,West
1958,Eden Gardens,India,West
1959,Nehru Stadium (Chennai),India,West
1959,Arun Jaitley Stadium,India,Draw
1959,Arun Jaitley Stadium,India,Australia
1959,Green Park,India,India
1960,Brabourne Stadium,India,Draw
1960,Nehru Stadium (Chennai),India,Australia
1960,Eden Gardens,India,Draw
1960,Brabourne Stadium,India,Draw
1960,Green Park,India,Draw
1960,Eden Gardens,India,Draw
1961,Nehru Stadium (Chennai),India,Draw
1961,Arun Jaitley Stadium,India,Draw
1961,Brabourne Stadium,India,Draw
1961,Green Park,India,Draw
1961,Arun Jaitley Stadium,India,Draw
1961,Eden Gardens,India,India
1962,Nehru Stadium (Chennai),India,India
1964,Nehru Stadium (Chennai),India,Draw
1964,Brabourne Stadium,India,Draw
1964,Eden Gardens,India,Draw
1964,Arun Jaitley Stadium,India,Draw
1964,Green Park,India,Draw
1964,Nehru Stadium (Chennai),India,Australia
1964,Brabourne Stadium,India,India
1964,Eden Gardens,India,Draw
1965,Nehru Stadium (Chennai),India,Draw
1965,Eden Gardens,India,Draw
1965,Brabourne Stadium,India,Draw
1965,Arun Jaitley Stadium,India,India
1966,Brabourne Stadium,India,West
1966,Eden Gardens,India,West
1967,MA Chidambaram Stadium,India,Draw
1969,Brabourne Stadium,India,India
1969,Vidarbha Cricket Association Ground,India,New
1969,Lal Bahadur Shastri Stadium,India,Draw
1969,Brabourne Stadium,India,Australia
1969,Green Park,India,Draw
1969,Arun Jaitley Stadium,India,India
1969,Eden Gardens,India,Australia
1969,MA Chidambaram Stadium,India,Australia
1972,Arun Jaitley Stadium,India,England
1972,Eden Gardens,India,India
1973,MA Chidambaram Stadium,India,India
1973,Green Park,India,Draw
1973,Brabourne Stadium,India,Draw
1974,M Chinnaswamy Stadium,India,West
1974,Arun Jaitley Stadium,India,West
1974,Eden Gardens,India,India
1975,MA Chidambaram Stadium,India,India
1975,Wankhede Stadium,India,West
1976,Wankhede Stadium,India,India
1976,Green Park,India,Draw
1976,MA Chidambaram Stadium,India,India
1976,Arun Jaitley Stadium,India,England
1977,Eden Gardens,India,England
1977,MA Chidambaram Stadium,India,England
1977,M Chinnaswamy Stadium,India,India
1977,Wankhede Stadium,India,Draw
1978,Wankhede Stadium,India,Draw
1978,M Chinnaswamy Stadium,India,Draw
1978,Eden Gardens,India,Draw
1979,MA Chidambaram Stadium,India,India
1979,Arun Jaitley Stadium,India,Draw
1979,Green Park,India,Draw
1979,MA Chidambaram Stadium,India,Draw
1979,M Chinnaswamy Stadium,India,Draw
1979,Green Park,India,India
1979,Arun Jaitley Stadium,India,Draw
1979,Eden Gardens,India,Draw
1979,Wankhede Stadium,India,India
1979,M Chinnaswamy Stadium,India,Draw
1979,Arun Jaitley Stadium,India,Draw
1979,Wankhede Stadium,India,India
1979,Green Park,India,Draw
1980,MA Chidambaram Stadium,India,India
1980,Eden Gardens,India,Draw
1980,Wankhede Stadium,India,England
1981,Wankhede Stadium,India,India
1981,M Chinnaswamy Stadium,India,Draw
1981,Arun Jaitley Stadium,India,Draw
1982,Eden Gardens,India,Draw
1982,MA Chidambaram Stadium,India,Draw
1982,Green Park,India,Draw
1982,MA Chidambaram Stadium,India,Draw
1983,M Chinnaswamy Stadium,India,Draw
1983,Gandhi Stadium,India,Draw
1983,Vidarbha Cricket Association Ground,India,Draw
1983,Green Park,India,West
1983,Arun Jaitley Stadium,India,Draw
1983,Narendra Modi Stadium,India,West
1983,Wankhede Stadium,India,Draw
1983,Eden Gardens,India,West
1983,MA Chidambaram Stadium,India,Draw
1984,Wankhede Stadium,India,India
1984,Arun Jaitley Stadium,India,England
1984,Eden Gardens,India,Draw
1985,MA Chidambaram Stadium,India,England
1985,Green Park,India,Draw
1986,MA Chidambaram Stadium,India,Draw
1986,Arun Jaitley Stadium,India,Draw
1986,Wankhede Stadium,India,Draw
1986,Green Park,India,Draw
1986,Vidarbha Cricket Association Ground,India,India
1987,Barabati Stadium,India,India
1987,MA Chidambaram Stadium,India,Draw
1987,Eden Gardens,India,Draw
1987,Sawai Mansingh Stadium,India,Draw
1987,Narendra Modi Stadium,India,Draw
1987,M Chinnaswamy Stadium,India,Pakistan
1987,Arun Jaitley Stadium,India,West
1987,Wankhede Stadium,India,Draw
1987,Eden Gardens,India,Draw
1988,MA Chidambaram Stadium,India,India
1988,M Chinnaswamy Stadium,India,India
1988,Wankhede Stadium,India,New
1988,Lal Bahadur Shastri Stadium,India,India
1990,Sector 16 Stadium,India,India
1993,Eden Gardens,India,India
1993,MA Chidambaram Stadium,India,India
1993,Wankhede Stadium,India,India
1993,Arun Jaitley Stadium,India,India
1994,"KD Singh ""Babu"" Stadium",India,India
1994,M Chinnaswamy Stadium,India,India
1994,Narendra Modi Stadium,India,India
1994,Wankhede Stadium,India,India
1994,Vidarbha Cricket Association Ground,India,Draw
1994,Punjab Cricket Association IS Bindra Stadium,India,West
1995,M Chinnaswamy Stadium,India,India
1995,MA Chidambaram Stadium,India,Draw
1995,Barabati Stadium,India,Draw
1996,Arun Jaitley Stadium,India,India
1996,Narendra Modi Stadium,India,India
1996,Eden Gardens,India,South
1996,Green Park,India,India
1997,Punjab Cricket Association IS Bindra Stadium,India,Draw
1997,Vidarbha Cricket Association Ground,India,Draw
1997,Wankhede Stadium,India,Draw
1998,MA Chidambaram Stadium,India,India
1998,Eden Gardens,India,India
1998,M Chinnaswamy Stadium,India,Australia
1999,MA Chidambaram Stadium,India,Pakistan
1999,Arun Jaitley Stadium,India,India
1999,Punjab Cricket Association IS Bindra Stadium,India,Draw
1999,Green Park,India,India
1999,Narendra Modi Stadium,India,Draw
2000,Wankhede Stadium,India,South
2000,M Chinnaswamy Stadium,India,South
2000,Arun Jaitley Stadium,India,India
2000,Vidarbha Cricket Association Ground,India,Draw
2001,Wankhede Stadium,India,Australia
2001,Eden Gardens,India,India
2001,MA Chidambaram Stadium,India,India
2001,Punjab Cricket Association IS Bindra Stadium,India,India
2001,Narendra Modi Stadium,India,Draw
2001,M Chinnaswamy Stadium,India,Draw
2002,Vidarbha Cricket Association Ground,India,India
2002,Arun Jaitley Stadium,India,India
2002,Wankhede Stadium,India,India
2002,MA Chidambaram Stadium,India,India
2002,Eden Gardens,India,Draw
2003,Narendra Modi Stadium,India,Draw
2003,Punjab Cricket Association IS Bindra Stadium,India,Draw
2004,M Chinnaswamy Stadium,India,Australia
2004,MA Chidambaram Stadium,India,Draw
2004,Vidarbha Cricket Association Ground,India,Australia
2004,Wankhede Stadium,India,India
2004,Green Park,India,Draw
2004,Eden Gardens,India,India
2005,Punjab Cricket Association IS Bindra Stadium,India,Draw
2005,Eden Gardens,India,India
2005,M Chinnaswamy Stadium,India,Pakistan
2005,MA Chidambaram Stadium,India,Draw
2005,Arun Jaitley Stadium,India,India
2005,Narendra Modi Stadium,India,India
2006,Vidarbha Cricket Association Ground,India,Draw
2006,Punjab Cricket Association IS Bindra Stadium,India,India
2006,Wankhede Stadium,India,England
2007,Arun Jaitley Stadium,India,India
2007,Eden Gardens,India,Draw
2007,M Chinnaswamy Stadium,India,Draw
2008,MA Chidambaram Stadium,India,Draw
2008,Narendra Modi Stadium,India,South
2008,Green Park,India,India
2008,M Chinnaswamy Stadium,India,Draw
2008,Punjab Cricket Association IS Bindra Stadium,India,India
2008,Arun Jaitley Stadium,India,Draw
2008,Vidarbha Cricket Association Stadium,India,India
2008,MA Chidambaram Stadium,India,India
2008,Punjab Cricket Association IS Bindra Stadium,India,Draw
2009,Narendra Modi Stadium,India,Draw
2009,Green Park,India,India
2009,Brabourne Stadium,India,India
2010,Vidarbha Cricket Association Stadium,India,South
2010,Eden Gardens,India,India
2010,Punjab Cricket Association IS Bindra Stadium,India,India
2010,M Chinnaswamy Stadium,India,India
2010,Narendra Modi Stadium,India,Draw
2010,Rajiv Gandhi International Stadium,India,Draw
2010,Vidarbha Cricket Association Stadium,India,India
2011,Arun Jaitley Stadium,India,India
2011,Eden Gardens,India,India
2011,Wankhede Stadium,India,Draw
2012,Rajiv Gandhi International Stadium,India,India
2012,M Chinnaswamy Stadium,India,India
2012,Narendra Modi Stadium,India,India
2012,Wankhede Stadium,India,England
2012,Eden Gardens,India,England
2012,Vidarbha Cricket Association Stadium,India,Draw
2013,MA Chidambaram Stadium,India,India
2013,Rajiv Gandhi International Stadium,India,India
2013,Punjab Cricket Association IS Bindra Stadium,India,India
2013,Arun Jaitley Stadium,India,India
2013,Eden Gardens,India,India
2013,Wankhede Stadium,India,India
2015,Punjab Cricket Association IS Bindra Stadium,India,India
2015,M Chinnaswamy Stadium,India,Draw
2015,Vidarbha Cricket Association Stadium,India,India
2015,Arun Jaitley Stadium,India,India
2016,Green Park,India,India
2016,Eden Gardens,India,India
2016,Holkar Cricket Stadium,India,India
2016,Saurashtra Cricket Association Stadium,India,Draw
