Date,Ground,Home Team,Winner
1930,AMI Stadium,New,England
1930,Basin Reserve,New,Draw
1930,Eden Park,New,Draw
1930,Eden Park,New,Draw
1932,AMI Stadium,New,South
1932,Basin Reserve,New,South
1933,AMI Stadium,New,Draw
1933,Eden Park,New,Draw
1946,Basin Reserve,New,Australia
1947,AMI Stadium,New,Draw
1951,AMI Stadium,New,Draw
1951,Basin Reserve,New,England
1952,AMI Stadium,New,West
1952,Eden Park,New,Draw
1953,Basin Reserve,New,South
1953,Eden Park,New,Draw
1955,Carisbrook,New,England
1955,Eden Park,New,England
1956,Carisbrook,New,West
1956,AMI Stadium,New,West
1956,Basin Reserve,New,West
1956,Eden Park,New,New
1959,AMI Stadium,New,England
1959,Eden Park,New,Draw
1963,Eden Park,New,England
1963,Basin Reserve,New,England
1963,AMI Stadium,New,England
1964,Basin Reserve,New,Draw
1964,Carisbrook,New,Draw
1964,Eden Park,New,Draw
1965,Basin Reserve,New,Draw
1965,Eden Park,New,Draw
1965,AMI Stadium,New,Draw
1966,AMI Stadium,New,Draw
1966,Carisbrook,New,Draw
1966,Eden Park,New,Draw
1968,Carisbrook,New,India
1968,AMI Stadium,New,New
1968,Basin Reserve,New,India
1968,Eden Park,New,India
1969,Eden Park,New,West
1969,Basin Reserve,New,New
1969,AMI Stadium,New,Draw
1971,AMI Stadium,New,England
1971,Eden Park,New,Draw
1973,Basin Reserve,New,Draw
1973,Carisbrook,New,Pakistan
1973,Eden Park,New,Draw
1974,Basin Reserve,New,Draw
1974,AMI Stadium,New,New
1974,Eden Park,New,Australia
1975,Eden Park,New,England
1975,AMI Stadium,New,Draw
1976,Eden Park,New,India
1976,AMI Stadium,New,Draw
1976,Basin Reserve,New,New
1977,AMI Stadium,New,Draw
1977,Eden Park,New,Australia
1978,Basin Reserve,New,New
1978,AMI Stadium,New,England
1978,Eden Park,New,Draw
1979,AMI Stadium,New,Pakistan
1979,McLean Park,New,Draw
1979,Eden Park,New,Draw
1980,Carisbrook,New,New
