Date,Ground,Home Team,Winner
1889,St George's Park,South,England
1889,Newlands,South,England
1892,Newlands,South,England
1896,St George's Park,South,England
1896,Old Wanderers,South,England
1896,Newlands,South,England
1899,Old Wanderers,South,England
1899,Newlands,South,England
1902,Old Wanderers,South,Draw
1902,Old Wanderers,South,Australia
1902,Newlands,South,Australia
1906,Old Wanderers,South,South
1906,Old Wanderers,South,South
1906,Old Wanderers,South,South
1906,Newlands,South,England
1906,Newlands,South,South
1910,Old Wanderers,South,South
1910,Lord's (SAF),South,South
1910,Old Wanderers,South,England
1910,Newlands,South,South
1910,Newlands,South,England
1913,Lord's (SAF),South,England
1913,Old Wanderers,South,England
1914,Old Wanderers,South,England
1914,Lord's (SAF),South,Draw
1914,St George's Park,South,England
1921,Lord's (SAF),South,Draw
1921,Old Wanderers,South,Draw
1921,Newlands,South,Australia
1922,Old Wanderers,South,South
1923,Newlands,South,England
1923,Kingsmead,South,Draw
1923,Old Wanderers,South,Draw
1923,Kingsmead,South,England
1927,Old Wanderers,South,England
1927,Newlands,South,England
1928,Kingsmead,South,Draw
1928,Old Wanderers,South,South
1928,Kingsmead,South,South
1930,Old Wanderers,South,South
1931,Newlands,South,Draw
1931,Kingsmead,South,Draw
1931,Old Wanderers,South,Draw
1931,Kingsmead,South,Draw
1935,Kingsmead,South,Australia
1935,Old Wanderers,South,Draw
1936,Newlands,South,Australia
1936,Old Wanderers,South,Australia
1936,Kingsmead,South,Australia
1938,Old Wanderers,South,Draw
1938,Newlands,South,Draw
1939,Kingsmead,South,England
1939,Old Wanderers,South,Draw
1939,Kingsmead,South,Draw
1948,Kingsmead,South,England
1948,Ellis Park,South,Draw
1949,Newlands,South,Draw
1949,Ellis Park,South,Draw
1949,St George's Park,South,England
1949,Ellis Park,South,Australia
1949,Newlands,South,Australia
1950,Kingsmead,South,Australia
1950,Ellis Park,South,Draw
1950,St George's Park,South,Australia
1953,Kingsmead,South,South
1953,Ellis Park,South,South
1954,Newlands,South,Draw
1954,Ellis Park,South,South
1954,St George's Park,South,South
1956,Wanderers Stadium,South,England
1957,Newlands,South,England
1957,Kingsmead,South,Draw
1957,Wanderers Stadium,South,South
1957,St George's Park,South,South
1957,Wanderers Stadium,South,Draw
1957,Newlands,South,Australia
1958,Kingsmead,South,Draw
1958,Wanderers Stadium,South,Australia
1958,St George's Park,South,Australia
1961,Kingsmead,South,South
1961,Wanderers Stadium,South,Draw
1962,Newlands,South,New
1962,Wanderers Stadium,South,South
1962,St George's Park,South,New
1964,Kingsmead,South,England
1964,Wanderers Stadium,South,Draw
1965,Newlands,South,Draw
1965,Wanderers Stadium,South,Draw
1965,St George's Park,South,Draw
